director_name,actor_1_name,actor_2_name,actor_3_name,genres,movie_title,comb
HenryKing,TyronePower,DonAmeche,JohnCarradine,drama musical romance,Alexander's Ragtime Band,TyronePower DonAmeche JohnCarradine HenryKing drama musical romance
MirandaJuly,NajarraTownsend,BradWilliamHenke,MirandaJuly,comedy drama,Me and You and Everyone We Know,NajarraTownsend BradWilliamHenke MirandaJuly MirandaJuly comedy drama
CharlesFerguson,MattDamon,GeorgeW.Bush,BarneyFrank,crime documentary,Inside Job,MattDamon GeorgeW.Bush BarneyFrank CharlesFerguson crime documentary
MaxJoseph,VanessaLengies,EmilyRatajkowski,JonnyWeston,drama music romance,We Are Your Friends,VanessaLengies EmilyRatajkowski JonnyWeston MaxJoseph drama music romance
JimJarmusch,HenrySilva,GanoGrills,RichardPortnow,action crime drama thriller,Ghost Dog: The Way of the Samurai,HenrySilva GanoGrills RichardPortnow JimJarmusch action crime drama thriller
DavidAyer,J.K.Simmons,ChristianBale,NoelGugliemi,action crime drama thriller,Harsh Times,J.K.Simmons ChristianBale NoelGugliemi DavidAyer action crime drama thriller
JerryJameson,DavidOyelowo,LeonorVarela,SydelleNoel,crime drama thriller,Captive,DavidOyelowo LeonorVarela SydelleNoel JerryJameson crime drama thriller
StevenSoderbergh,JuliaRoberts,EnricoColantoni,BlairUnderwood,comedy romance,Full Frontal,JuliaRoberts EnricoColantoni BlairUnderwood StevenSoderbergh comedy romance
KevinTenney,KathleenWilhoite,TawnyKitaen,RoseMarie,horror mystery thriller,Witchboard,KathleenWilhoite TawnyKitaen RoseMarie KevinTenney horror mystery thriller
KevinTenney,StephenColbert,AmySedaris,MariaThayer,comedy,Strangers with Candy            ,StephenColbert AmySedaris MariaThayer KevinTenney comedy
KennethBranagh,JulieChristie,BrianBlessed,RichardBriers,drama,Hamlet,JulieChristie BrianBlessed RichardBriers KennethBranagh drama
JohnCameronMitchell,Sook-YinLee,PeterStickles,RaphaelBarker,comedy drama romance,Shortbus,Sook-YinLee PeterStickles RaphaelBarker JohnCameronMitchell comedy drama romance
AriFolman,AriFolman,RonnyDayag,ZahavaSolomon,animation biography documentary drama history war,Waltz with Bashir,AriFolman RonnyDayag ZahavaSolomon AriFolman animation biography documentary drama history war
