director_name,actor_1_name,actor_2_name,actor_3_name,genres,movie_title,genresres,comb
RichardEyre,EmmaThompson,StanleyTucci,FionnWhitehead,'Drama',The Children Act,'drama',EmmaThompson StanleyTucci FionnWhitehead RichardEyre 'Drama'
CraigWilliamMacneill,ChloëSevigny,KristenStewart,JayHuguley,'Crime'  'Drama'  'Thriller',Lizzie,'crime'  'drama'  'thriller',ChloëSevigny KristenStewart JayHuguley CraigWilliamMacneill 'Crime'  'Drama'  'Thriller'
HaroldCronk,SamuelHunt,MerrittPatterson,VanessaBellCalloway,'Drama',Unbroken: Path to Redemption,'drama',SamuelHunt MerrittPatterson VanessaBellCalloway HaroldCronk 'Drama'
StephenCognetti,VasileFlutur,JillianGeurts,JoyShatz,'Horror',Hell House LLC II: The Abaddon Hotel,'horror',VasileFlutur JillianGeurts JoyShatz StephenCognetti 'Horror'
EliRoth,JackBlack,CateBlanchett,OwenVaccaro,'Fantasy'  'Family'  'Comedy'  'Horror',The House with a Clock in Its Walls,'fantasy'  'family'  'comedy'  'horror',JackBlack CateBlanchett OwenVaccaro EliRoth 'Fantasy'  'Family'  'Comedy'  'Horror'
DanFogelman,OscarIsaac,OliviaWilde,MandyPatinkin,'Drama'  'Romance',Life Itself,'drama'  'romance',OscarIsaac OliviaWilde MandyPatinkin DanFogelman 'Drama'  'Romance'
JacquesAudiard,JohnC.Reilly,JoaquinPhoenix,JakeGyllenhaal,'Western'  'Drama'  'Adventure',The Sisters Brothers,'western'  'drama'  'adventure',JohnC.Reilly JoaquinPhoenix JakeGyllenhaal JacquesAudiard 'Western'  'Drama'  'Adventure'
SamLevinson,OdessaYoung,SukiWaterhouse,HariNef,'Thriller'  'Horror',Assassination Nation,'thriller'  'horror',OdessaYoung SukiWaterhouse HariNef SamLevinson 'Thriller'  'Horror'
WashWestmoreland,KeiraKnightley,DominicWest,unknown,'Drama'  'History',Colette,'drama'  'history',KeiraKnightley DominicWest unknown WashWestmoreland 'Drama'  'History'
ChristianCarion,GuillaumeCanet,MelanieLaurent,unknown,'Crime'  'Drama'  'Mystery',My Son,'crime'  'drama'  'mystery',GuillaumeCanet MelanieLaurent unknown ChristianCarion 'Crime'  'Drama'  'Mystery'
LisaDapolito,GildaRadner,unknown,unknown,'Documentary',"Love, Gilda",'documentary',GildaRadner unknown unknown LisaDapolito 'Documentary'
KenjiNagasaki,JustinBriner,ChristopherR.Sabat,CliffordChapin,'Animation'  'Action'  'Adventure'  'Fantasy',My Hero Academia: Two Heroes,'animation'  'action'  'adventure'  'fantasy',JustinBriner ChristopherR.Sabat CliffordChapin KenjiNagasaki 'Animation'  'Action'  'Adventure'  'Fantasy'
KareyKirkpatrick,ChanningTatum,JamesCorden,Zendaya,'Family'  'Animation'  'Adventure'  'Fantasy',Smallfoot,'family'  'animation'  'adventure'  'fantasy',ChanningTatum JamesCorden Zendaya KareyKirkpatrick 'Family'  'Animation'  'Adventure'  'Fantasy'
MalcolmD.Lee,KevinHart,TiffanyHaddish,RobRiggle,'Comedy',Night School,'comedy',KevinHart TiffanyHaddish RobRiggle MalcolmD.Lee 'Comedy'
DavidLowery,RobertRedford,CaseyAffleck,DannyGlover,'Comedy'  'Crime'  'Drama',The Old Man & the Gun,'comedy'  'crime'  'drama',RobertRedford CaseyAffleck DannyGlover DavidLowery 'Comedy'  'Crime'  'Drama'
GregoryPlotkin,BexTaylor-Klaus,AmyForsyth,ReignEdwards,'Horror',Hell Fest,'horror',BexTaylor-Klaus AmyForsyth ReignEdwards GregoryPlotkin 'Horror'
DaveChristiano,NicholasX.Parsons,PattyDuke,MichaelGross,None,Power of the Air,none,NicholasX.Parsons PattyDuke MichaelGross DaveChristiano None
RubenFleischer,TomHardy,MichelleWilliams,RizAhmed,'Science Fiction'  'Action',Venom,'science fiction'  'action',TomHardy MichelleWilliams RizAhmed RubenFleischer 'Science Fiction'  'Action'
BradleyCooper,BradleyCooper,LadyGaga,SamElliott,'Drama'  'Romance'  'Music',A Star Is Born,'drama'  'romance'  'music',BradleyCooper LadyGaga SamElliott BradleyCooper 'Drama'  'Romance'  'Music'
GeorgeTillmanJr.,AmandlaStenberg,ReginaHall,RussellHornsby,'Crime'  'Drama',The Hate U Give,'crime'  'drama',AmandlaStenberg ReginaHall RussellHornsby GeorgeTillmanJr. 'Crime'  'Drama'
RupertEverett,RupertEverett,ColinFirth,ColinMorgan,'Drama',The Happy Prince,'drama',RupertEverett ColinFirth ColinMorgan RupertEverett 'Drama'
DamienChazelle,RyanGosling,ClaireFoy,JasonClarke,'History'  'Drama',First Man,'history'  'drama',RyanGosling ClaireFoy JasonClarke DamienChazelle 'History'  'Drama'
DrewGoddard,JeffBridges,CynthiaErivo,DakotaJohnson,'Thriller'  'Drama'  'Mystery'  'Crime',Bad Times at the El Royale,'thriller'  'drama'  'mystery'  'crime',JeffBridges CynthiaErivo DakotaJohnson DrewGoddard 'Thriller'  'Drama'  'Mystery'  'Crime'
AriSandel,WendiMcLendon-Covey,MadisonIseman,JeremyRayTaylor,'Adventure'  'Comedy'  'Fantasy'  'Family'  'Horror',Goosebumps 2: Haunted Halloween,'adventure'  'comedy'  'fantasy'  'family'  'horror',WendiMcLendon-Covey MadisonIseman JeremyRayTaylor AriSandel 'Adventure'  'Comedy'  'Fantasy'  'Family'  'Horror'
FelixvanGroeningen,SteveCarell,TimothéeChalamet,MauraTierney,'Drama',Beautiful Boy,'drama',SteveCarell TimothéeChalamet MauraTierney FelixvanGroeningen 'Drama'
IkeBarinholtz,IkeBarinholtz,TiffanyHaddish,NoraDunn,'Comedy',The Oath,'comedy',IkeBarinholtz TiffanyHaddish NoraDunn IkeBarinholtz 'Comedy'
NickSearcy,EarlBillings,DeanCain,SarahJaneMorris,'Drama'  'Crime',Gosnell: The Trial of America's Biggest Serial Killer,'drama'  'crime',EarlBillings DeanCain SarahJaneMorris NickSearcy 'Drama'  'Crime'
"HannahMarks,JoeyPower",HannahMarks,JoeyPower(directors/screenplay),JeremyAllenWhite,'Comedy'  'Drama'  'Romance',After Everything,'comedy'  'drama'  'romance',"HannahMarks JoeyPower(directors/screenplay) JeremyAllenWhite HannahMarks,JoeyPower 'Comedy'  'Drama'  'Romance'"
DavidGordonGreen,JamieLeeCurtis,JudyGreer,AndiMatichak,'Horror'  'Thriller',Halloween,'horror'  'thriller',JamieLeeCurtis JudyGreer AndiMatichak DavidGordonGreen 'Horror'  'Thriller'
